,depth below sea level (m),gamma ray
431,648.1544568,82.178
432,648.3068568,82.55
433,648.4592568000002,80.074
434,648.6116568000001,77.475
435,648.7640568,75.743
436,648.9164568,77.847
437,649.0688568000002,78.713
438,649.2212568000001,78.713
439,649.3736568,75.99
440,649.5260568,72.525
441,649.6784568000002,68.936
442,649.8308568000001,68.936
443,649.9832568,72.401
444,650.1356568,76.114
445,650.2880568000002,78.091
446,650.4404568000001,80.065
447,650.5928568,82.039
448,650.7452568,83.022
449,650.8976568000002,80.912
450,651.0500568000001,77.317
451,651.2024568,77.31
452,651.3548568,82.873
453,651.5072568000002,88.195
454,651.6596568000001,86.573
455,651.8120568,82.237
456,651.9644568,76.538
457,652.1168568000002,73.561
458,652.2692568000001,73.926
459,652.4216568,78.87
460,652.5740568,83.938
461,652.7264568000002,89.021
462,652.8788568000001,90.389
463,653.0312568,90.259
464,653.1836568,87.13
465,653.3360568000002,85.269
466,653.4884568000001,82.664
467,653.6408568,80.182
468,653.7932568,78.691
469,653.9456568000002,79.056
470,654.0980568000001,82.268
471,654.2504568,85.479
472,654.4028568,88.702
473,654.5552568000002,92.071
474,654.7076568000001,91.564
475,654.8600568,85.578
476,655.0124568,79.507
477,655.1648568000002,74.922
478,655.3172568000001,75.163
479,655.4696568,76.147
480,655.6220568,77.254
481,655.7744567999999,77.248
482,655.9268568000001,81.326
483,656.0792568,88.258
484,656.2316568,88.003
485,656.3840567999999,86.012
486,656.5364568000001,84.523
487,656.6888568,87.237
488,656.8412568,88.602
489,656.9936567999999,81.298
490,657.1460568000001,69.043
491,657.2984568,59.151
492,657.4508568,46.994
493,657.6032567999999,42.06
494,657.7556568000001,45.63
495,657.9080568,53.366
496,658.0604568,59.12
497,658.2128567999999,67.777
498,658.3652568000001,82.253
499,658.5176568,91.909
500,658.6700568,90.777
501,658.8224567999999,91.896
502,658.9748568000001,95.889
503,659.1272568,99.758
504,659.2796568,102.726
505,659.4320567999999,105.693
506,659.5844568000001,104.703
507,659.7368568,100.371
508,659.8892568,96.0
509,660.0416567999999,92.5
510,660.1940568000001,92.25
511,660.3464568,93.5
512,660.4988568,95.375
513,660.6512567999999,96.875
514,660.8036568000001,96.875
515,660.9560568,94.75
516,661.1084568,91.0
517,661.2608567999999,90.875
518,661.4132568000001,92.75
519,661.5656568,94.125
520,661.7180568,92.625
521,661.8704567999999,91.125
522,662.0228568000001,90.625
523,662.1752568,93.875
524,662.3276568,95.0
525,662.4800567999999,93.498
526,662.6324568000001,91.872
527,662.7848568000001,92.119
528,662.9372568,93.614
529,663.0896568,95.481
530,663.2420568000001,96.849
531,663.3944568000001,96.969
532,663.5468568,97.089
533,663.6992568,92.603
534,663.8516568000001,88.122
535,664.0040568000001,83.54
536,664.1564568,79.084
537,664.3088568,77.847
538,664.4612568000001,81.559
539,664.6136568000001,84.777
540,664.7660568,87.129
541,664.9184568,87.748
542,665.0708568000001,87.996
543,665.2232568000001,88.243
544,665.3756568,88.49
545,665.5280568,82.918
546,665.6804568000001,82.912
547,665.8328568000001,85.381
548,665.9852568,88.716
549,666.1376568,89.7
550,666.2900568000001,89.446
551,666.4424568000001,91.667
552,666.5948568,94.507
553,666.7472568,93.387
554,666.8996568000001,89.421
555,667.0520568000001,85.455
556,667.2044568,81.488
557,667.3568568,80.616
558,667.5092568000001,88.901
559,667.6616568000001,95.825
560,667.8140568,97.923
561,667.9664568,96.431
562,668.1188568000001,94.198
563,668.2712568000001,92.088
564,668.4236568,89.978
565,668.5760568,87.373
566,668.7284568000001,84.768
567,668.8808568000001,82.163
568,669.0332568,79.557
569,669.1856568,80.912
